91,Adam,Abacki,69660780233,18.10.1979,77-224,M
92,Jakub,Boguszewski,81757550956,19.09.1983,47-971,M
93,Marcin,Wiœniewski,71387274457,05.09.1968,61-111,K
94,Jakub,Zieliñski,90559281853,28.02.1970,12-246,M
95,Tomek,Wójcik,70195806579,23.10.1960,78-989,M
96,Wojciech,Kowalski,91868454309,08.04.1963,39-419,K
97,Krzysztof,Szymañski,88258472056,13.07.1993,28-736,K
98,Michal,Danielak,71737917521,13.08.1990,40-329,M
99,Michal,Kowalski,86139425086,18.10.1993,16-808,M
100,Piotr,Szymañski,83102821306,12.09.1995,57-845,K
101,Aleksander,Czerwiñski,75548385630,15.02.1980,49-904,M
102,Marcin,Danielak,76795602033,17.09.1979,76-415,M
103,Aleksander,Abacki,80859301621,19.03.1983,33-176,M
104,Aleksander,Wójcik,72482196636,05.11.1987,13-790,M
105,Damian,Nowak,71021488382,28.07.1974,76-863,M
106,Wojciech,Danielak,99461646857,08.12.1978,44-023,K
107,Adrian,WoŸniak,62294729581,10.12.1970,36-665,K
108,Adrian,Kamiñski,60252592844,28.02.1997,88-659,M
109,Jakub,Abacki,62978954900,08.06.1968,14-970,M
110,Krzysztof,Brodowicz,87775564808,27.06.1962,74-128,K
111,Damian,Wolny,65762532428,08.06.1984,40-804,M
112,Piotr,Danielak,86464388351,18.08.1976,23-878,M
113,Adam,Nowak,83734943334,08.05.1979,25-475,M
114,Damian,Wójcik,92519412938,12.02.1995,3-193,K
115,Piotr,Nowak,94386802942,17.04.1973,38-650,K
116,Adam,Wójcik,87746896656,05.10.1980,65-192,M
117,Marcin,WoŸniak,97606220129,16.10.1978,38-287,K
118,Bogdan,Wójcik,83739975679,23.09.1962,42-915,K
119,Adrian,Boguszewski,75905380810,12.04.1974,38-774,K
120,Bogdan,Boguszewski,97027068827,24.02.1992,70-128,K
121,Wojciech,Jab³onowski,80481349315,02.04.1965,34-996,M
122,Michal,Kowalczyk,82363113418,01.09.1969,49-080,M
123,Aleksander,Nowak,92369845891,05.06.1965,58-066,M
124,Aleksander,Szymañski,91357257503,11.02.1983,59-541,K
125,Damian,Danielak,73085671022,02.10.1990,48-671,K
126,Aleksander,Boguszewski,73697964237,06.08.1974,25-649,K
127,Adrian,Szymañski,82807201385,05.12.1988,7-957,M
128,Adrian,Wójcik,62856268358,25.01.1988,27-705,K
129,Cezary,WoŸniak,77719684105,08.08.1962,8-124,M
130,Jakub,Wiœniewski,90354901423,08.03.1986,1-098,M
131,Rafa³,Kowalczyk,69715076171,27.01.1981,71-419,M
132,Bogdan,Kowalczyk,78657283057,07.11.1994,1-480,M
133,Adam,Zieliñski,69145749264,18.09.1988,71-444,M
134,Marcin,Danielak,95748048278,10.06.1969,55-942,M
135,Sylwester,Kamiñski,73358043906,09.08.1990,82-281,M
136,Marcin,Abacki,67076168407,08.06.1984,58-717,K
137,Damian,Szymañski,74852505923,08.09.1977,79-192,M
138,Piotr,Kamiñski,69299219033,05.10.1961,31-154,M
139,Piotr,Kowalczyk,98682159483,11.10.1971,2-302,M
140,Tomek,Wójcik,74175639037,06.08.1981,39-194,K
141,Wojciech,Wiœniewski,90962576738,10.04.1974,69-046,M
142,Adam,Wójcik,98301654021,01.10.1968,19-475,M
143,Aleksander,Abacki,89401662488,23.06.1981,67-332,K
144,Sebastian,Zieliñski,85480615401,26.02.1981,28-469,M
145,Damian,Boguszewski,87673573014,01.08.1980,58-163,M
146,Jakub,Boguszewski,91436664302,24.05.1989,31-249,K
147,Aleksander,Boguszewski,76931824331,20.01.1996,13-246,K
148,Michal,Górski,65887310782,12.03.1991,59-863,K
149,Szymon,Brodowicz,91367834092,24.10.1980,40-345,K
150,Piotr,Czerwiñski,79425219623,13.12.1987,52-937,K
151,Damian,Wójcik,95450338330,03.10.1994,59-759,M
152,Marcin,Abacki,72355484160,24.08.1966,19-443,M
153,Michal,Jab³onowski,91226625781,11.12.1971,14-205,K
154,Damian,Kowalski,80810699796,06.07.1996,74-611,M
155,Sylwester,Górski,87191319673,26.10.1999,69-239,M
156,Piotr,Wiœniewski,70091459036,06.03.1985,50-311,K
157,Michal,Boguszewski,61691865116,25.08.1987,79-304,M
158,Aleksander,Szymañski,91081767240,27.06.1983,63-865,M
159,Jakub,Danielak,87658334716,12.09.1999,80-587,K
160,Bogdan,Wójcik,69350848442,28.04.1969,75-610,M
161,Adrian,Kowalczyk,78971329954,20.04.1985,39-449,M
162,Tomek,Czerwiñski,89266110760,21.12.1984,86-946,M
163,Wojciech,Kamiñski,60337084581,06.03.1961,31-279,K
164,Sylwester,Abacki,61757376974,01.03.1983,45-907,M
165,Wojciech,Brodowicz,89944620068,06.12.1990,17-041,K
166,Bogdan,Kowalski,64210199601,12.04.1982,77-680,K
167,Michal,Kowalski,80863343381,15.10.1972,76-400,K
168,Sebastian,Jab³onowski,72833001609,09.04.1978,36-763,K
169,Adrian,Zieliñski,82877972160,26.04.1991,31-997,M
170,Rafa³,Jab³onowski,84077497108,14.03.1965,75-093,K
171,Piotr,Kamiñski,77502161336,04.11.1998,77-590,K
172,Jakub,Wiœniewski,63944422112,28.10.1992,51-596,K
173,Adrian,Jab³onowski,68897183292,20.08.1989,48-469,M
174,Marcin,Boguszewski,92893848331,16.08.1985,6-499,K
175,Jakub,Jab³onowski,63132279390,17.03.1967,9-380,K
176,Sylwester,Wójcik,92462618945,12.03.1992,58-652,K
177,Piotr,WoŸniak,99714717338,21.11.1980,14-392,K
178,Szymon,Wolny,77454605026,07.09.1980,20-227,M
179,Wojciech,Boguszewski,86237216816,02.01.1987,12-625,K
180,Wojciech,Wójcik,69640575639,11.04.1981,16-059,K
181,Szymon,Boguszewski,63759538060,11.08.1998,78-542,M
182,Michal,Kamiñski,81960463250,08.02.1981,39-186,M
183,Krzysztof,Jab³onowski,99854609579,16.08.1984,14-976,K
184,Jakub,Wiœniewski,93937650011,10.12.1962,60-433,M
185,Krzysztof,Wolny,86392791235,07.09.1985,49-890,M
186,Wojciech,Jab³onowski,83252551949,22.01.1967,49-030,M
187,Michal,Czerwiñski,71159780125,19.10.1977,82-390,M
188,Rafa³,Wolny,98414113681,14.06.1978,50-718,K
189,Marcin,Wiœniewski,92862042670,16.01.1960,79-848,M
190,Krzysztof,Szymañski,85675664988,12.03.1976,41-889,K
191,Wojciech,Górski,66549703839,01.07.1972,9-372,M
192,Aleksander,Danielak,89877961969,26.09.1997,49-526,M
193,Piotr,Szymañski,60350245199,05.12.1971,16-697,M
194,Michal,Wolny,85277625240,18.01.1981,78-737,M
195,Aleksander,Górski,91516501392,06.03.1988,61-724,M
196,Aleksander,WoŸniak,85953786390,28.12.1972,40-816,M
197,Wojciech,Wiœniewski,70732535212,09.01.1977,86-824,K
198,Jakub,Wolny,99478939516,11.10.1986,89-430,K
199,Piotr,Boguszewski,96944557697,22.05.1994,45-110,M
200,Marcin,Abacki,70056168677,28.10.1972,58-319,K
201,Damian,Wiœniewski,96106538180,26.02.1977,40-533,M
202,Marcin,Wójcik,72234832417,11.02.1966,45-483,K
203,Aleksander,Boguszewski,67181235896,26.08.1973,31-072,K
204,Cezary,Boguszewski,63401850989,11.08.1972,73-177,K
205,Marcin,Wójcik,99676907815,01.03.1996,28-921,K
206,Damian,Kamiñski,86289217645,24.02.1994,90-773,M
207,Michal,Nowak,78511051493,04.06.1995,89-283,K
208,Krzysztof,Wójcik,76766115024,20.07.1999,43-996,K
209,Aleksander,Danielak,78382547647,26.06.1985,67-334,K
210,Szymon,Nowak,83780881185,25.02.1993,66-152,K
211,Adrian,Szymañski,87867167952,28.03.1985,80-065,K
212,Adam,Kamiñski,69035130769,25.05.1969,86-774,M
213,Krzysztof,Kowalski,63757326874,28.05.1987,19-878,K
214,Damian,Szymañski,84840656971,19.09.1969,34-207,M
215,Michal,Wolny,64921535565,25.05.1970,69-965,K
216,Aleksander,Wójcik,65847785010,07.06.1975,39-027,M
217,Tomek,Kamiñski,73306821753,03.01.1990,30-584,M
218,Marcin,Kamiñski,87655593944,11.09.1960,40-874,M
219,Bogdan,Szymañski,78435983020,08.09.1995,73-211,K
220,Marcin,Abacki,84986217705,07.04.1987,49-036,M
221,Jakub,Wiœniewski,80522163637,13.10.1998,10-661,K
222,Damian,Kamiñski,84948101660,16.10.1989,84-593,K
223,Krzysztof,Wolny,91098579489,06.05.1993,17-522,M
224,Piotr,Brodowicz,88971997660,07.08.1976,18-415,M
225,Bogdan,Zieliñski,88790643412,05.02.1973,54-144,M
226,Tomek,Nowak,99951468260,16.05.1975,68-420,K
227,Piotr,Wolny,60717528684,13.10.1996,16-726,K
228,Tomek,Czerwiñski,77585524212,03.10.1980,34-553,K
229,Rafa³,Szymañski,86045740932,12.02.1987,70-452,M
230,Tomek,Nowak,82081064743,20.04.1965,90-342,M
231,Cezary,Danielak,90445869632,12.03.1960,64-262,K
232,Bogdan,Abacki,76589966896,22.06.1972,79-619,M
233,Damian,WoŸniak,63647347792,08.02.1970,59-536,K
234,Damian,Nowak,99437362590,08.07.1967,28-821,M
235,Piotr,Zieliñski,81355183139,21.01.1990,17-745,K
236,Cezary,Górski,89714332959,10.09.1972,76-607,K
237,Michal,Nowak,66611766922,21.05.1979,49-270,M
238,Wojciech,Wolny,67259700919,26.03.1993,16-393,M
239,Tomek,Górski,95409741169,14.03.1993,90-399,M
240,Wojciech,WoŸniak,96621229828,28.08.1996,67-977,K
241,Szymon,Brodowicz,84706803944,24.03.1978,34-841,M
242,Jakub,Kowalski,72958156558,14.02.1991,67-300,K
243,Cezary,WoŸniak,93202285495,19.04.1983,25-121,K
244,Tomek,Danielak,96556702645,17.03.1975,33-503,K
245,Wojciech,Zieliñski,94948206989,18.10.1994,27-616,K
246,Piotr,Jab³onowski,72596463915,02.02.1997,26-666,K
247,Aleksander,Kamiñski,84952852612,14.10.1981,11-367,M
248,Damian,Kamiñski,62672770979,07.03.1969,76-297,K
249,Sylwester,Wiœniewski,69369172917,03.06.1981,1-767,K
250,Marcin,Danielak,67571438614,14.02.1994,19-119,M
251,Damian,Kowalczyk,96120526027,03.10.1988,57-341,M
252,Wojciech,Szymañski,82182390821,21.03.1960,66-808,K
253,Marcin,Brodowicz,65424938746,12.01.1960,86-306,K
254,Marcin,Kowalski,71342192282,15.06.1977,74-933,K
255,Adrian,Czerwiñski,75987834420,27.10.1992,4-795,K
256,Damian,Szymañski,99547346285,28.12.1978,23-202,M
257,Marcin,Górski,71567396147,12.09.1990,66-225,M
258,Sylwester,Zieliñski,95733059067,20.02.1968,79-417,M
259,Sylwester,Kamiñski,75884734679,05.02.1974,78-232,M
260,Tomek,Jab³onowski,95470266967,16.10.1976,64-030,K
261,Tomek,Czerwiñski,71323916999,18.12.1963,54-710,M
262,Krzysztof,Boguszewski,75355430351,06.08.1970,31-604,M
263,Rafa³,Czerwiñski,96262211298,07.10.1980,74-848,K
264,Bogdan,WoŸniak,97408021926,03.04.1962,4-988,M
265,Piotr,Abacki,70079275125,01.11.1979,26-103,K
266,Krzysztof,Wiœniewski,74428622543,25.12.1973,43-064,K
267,Bogdan,Szymañski,96070231216,24.10.1972,37-808,M
268,Rafa³,WoŸniak,90512939000,21.12.1965,59-555,K
269,Marcin,Danielak,98923789205,07.09.1973,66-514,K
270,Aleksander,Wolny,61621175613,03.03.1974,42-221,M
271,Szymon,Wójcik,97805985142,09.09.1972,3-114,K
272,Adam,Jab³onowski,71999455497,17.04.1993,12-399,M
273,Piotr,Czerwiñski,92340516759,01.12.1990,88-116,M
274,Wojciech,Danielak,89085088320,08.03.1992,44-205,M
275,Rafa³,Boguszewski,84451385738,18.09.1986,41-631,K
276,Szymon,Kowalski,85610268460,13.02.1976,32-535,M
277,Jakub,Kowalczyk,82308615815,26.09.1974,52-048,K
278,Sebastian,Wolny,81942630956,15.07.1981,67-375,M
279,Cezary,Kamiñski,68990889858,12.03.1989,76-016,M
280,Damian,Kamiñski,97160808054,21.02.1981,78-918,M
281,Michal,Wolny,99051258034,23.12.1985,16-342,K
282,Sylwester,WoŸniak,63272334777,14.02.1983,22-134,M
283,Adrian,Zieliñski,85747217522,14.07.1966,54-658,M
284,Adam,Wolny,95963572182,24.11.1968,40-479,M
285,Aleksander,Wolny,92211135316,23.10.1972,68-766,M
286,Tomek,Kowalski,76186337803,26.06.1982,86-183,M
287,Marcin,Wiœniewski,78493708534,14.08.1986,87-587,K
288,Piotr,Kamiñski,64727936008,24.07.1984,9-367,M
289,Damian,Nowak,93396752826,14.10.1990,61-394,M
290,Rafa³,Kowalczyk,63307058247,24.04.1992,26-501,K
291,Tomek,Kamiñski,62907889637,10.04.1999,30-161,K
292,Krzysztof,Brodowicz,76353258036,16.02.1986,26-439,M
293,Michal,Górski,69807800512,11.07.1987,58-197,K
294,Damian,Zieliñski,89843581675,23.02.1995,50-569,K
295,Rafa³,Wolny,63561011707,26.01.1962,40-842,K
296,Damian,Danielak,84668278319,10.03.1974,75-296,K
297,Marcin,Szymañski,99808571854,04.10.1966,24-824,K
298,Rafa³,Wójcik,84439480631,20.11.1974,84-055,K
299,Adam,Szymañski,94221888592,12.02.1990,25-644,M
300,Szymon,Nowak,63804158573,24.07.1966,70-855,K
301,Jakub,Górski,72283617202,11.04.1985,55-635,M
302,Wojciech,Danielak,94825986981,27.10.1992,6-456,M
303,Cezary,Wolny,83360725017,02.08.1961,59-145,M
304,Krzysztof,Danielak,86449385943,12.06.1994,18-812,K
305,Jakub,Kowalski,71115946579,19.02.1991,84-871,M
306,Aleksander,Brodowicz,69987100352,12.07.1980,16-134,M
307,Sylwester,WoŸniak,70612553550,06.09.1988,2-548,M
308,Adrian,Wójcik,66980303081,20.04.1978,25-905,K
309,Aleksander,Kowalski,62025240267,19.11.1964,82-778,K
310,Sylwester,Czerwiñski,87757248056,15.03.1972,85-746,K
311,Rafa³,Nowak,65403561044,09.11.1962,57-688,M
312,Damian,Danielak,71818715957,01.12.1989,35-570,M
313,Adrian,Nowak,62793381266,22.01.1977,42-208,K
314,Bogdan,Wolny,93514809538,05.07.1993,2-398,K
315,Bogdan,WoŸniak,74868267600,16.10.1987,63-394,M
316,Szymon,Abacki,61384469232,10.02.1964,18-858,M
317,Marcin,Jab³onowski,66479305136,14.07.1974,70-543,M
318,Krzysztof,WoŸniak,73462322423,11.05.1995,70-937,K
319,Bogdan,Brodowicz,71315206444,05.01.1981,24-169,K
320,Cezary,Szymañski,98596709184,11.11.1972,82-538,M
321,Jakub,Abacki,91605832785,18.07.1973,78-754,M
322,Adrian,Wójcik,71899364130,23.06.1974,48-732,K
323,Wojciech,Brodowicz,88732554137,22.07.1992,32-334,K
324,Adrian,Brodowicz,64400503099,28.10.1989,6-837,K
325,Damian,Szymañski,80451226845,23.03.1981,89-931,K
326,Sylwester,Boguszewski,92933684910,11.03.1987,18-609,M
327,Piotr,Wiœniewski,99733949994,01.11.1961,46-704,K
328,Sebastian,Górski,62523794943,28.04.1974,22-314,K
329,Szymon,Zieliñski,72223942950,22.08.1961,26-871,M
330,Sylwester,Czerwiñski,67271991770,27.09.1992,8-164,M
331,Tomek,Kowalski,83636115653,21.07.1964,1-164,M
332,Wojciech,Danielak,87694509253,16.10.1977,78-117,M
333,Bogdan,WoŸniak,90714665254,15.03.1964,28-759,K
334,Michal,Szymañski,63605382111,06.09.1982,68-889,M
335,Cezary,Boguszewski,75587828081,28.04.1976,82-968,M
336,Bogdan,Kowalski,94060715858,08.01.1969,11-199,K
337,Bogdan,Boguszewski,75843237229,07.11.1969,47-897,K
338,Sylwester,WoŸniak,90948005515,25.08.1971,69-354,M
339,Bogdan,Nowak,70385195380,21.02.1996,15-514,M
340,Jakub,Kowalczyk,98343908415,08.03.1979,40-665,M
341,Sylwester,Abacki,63159327653,20.10.1963,82-288,K
342,Adam,Wójcik,70738925488,07.11.1976,62-708,K
343,Adrian,Boguszewski,79880381315,06.06.1964,54-584,M
344,Marcin,Boguszewski,75181451278,12.03.1974,2-869,K
345,Krzysztof,Kowalczyk,73686335975,02.09.1981,15-736,K
346,Sebastian,Brodowicz,67285709115,01.11.1961,54-539,K
347,Aleksander,Kamiñski,70664208429,07.12.1996,2-970,K
348,Tomek,Wójcik,88471518265,20.02.1964,67-674,M
349,Tomek,Czerwiñski,92030345548,07.06.1990,13-767,K
350,Adrian,Boguszewski,73851336180,20.11.1969,55-536,M
351,Bogdan,Wiœniewski,77184138545,25.03.1983,78-082,M
352,Rafa³,Wójcik,62621204424,06.05.1961,22-215,K
353,Marcin,Boguszewski,85776775985,17.03.1993,81-142,K
354,Aleksander,Kowalski,77994615388,12.02.1986,35-367,M
355,Tomek,Górski,89625320577,13.01.1990,37-936,K
356,Krzysztof,Nowak,73729600301,12.11.1982,87-803,M
357,Sebastian,Kowalski,93091199671,25.07.1972,42-608,M
358,Piotr,WoŸniak,85897148529,21.11.1981,4-708,K
359,Marcin,Wolny,72122713755,19.05.1990,76-831,M
360,Damian,Nowak,95650960932,06.07.1998,65-552,K
361,Wojciech,Szymañski,71016840050,26.07.1987,57-801,M
362,Tomek,Wiœniewski,85622133869,23.02.1974,7-740,M
363,Cezary,Kowalski,67596534884,26.02.1987,20-905,M
364,Sylwester,Kowalczyk,63208432451,15.07.1966,60-767,K
365,Aleksander,Kamiñski,92085638770,16.10.1995,60-989,K
366,Marcin,Danielak,91080461462,12.03.1964,74-264,M
367,Jakub,Kowalczyk,89157984142,02.09.1962,66-548,M
368,Sebastian,Boguszewski,63204480422,15.02.1983,24-770,M
369,Michal,Abacki,83227150951,07.05.1964,47-003,K
370,Sebastian,Wójcik,62776549896,13.10.1979,88-982,M
371,Jakub,Abacki,81902985263,14.10.1981,58-794,K
372,Tomek,WoŸniak,75848862455,25.09.1971,36-509,M
373,Tomek,Boguszewski,85211704549,13.12.1963,57-241,M
374,Rafa³,Szymañski,75991743834,03.06.1973,7-663,K
375,Aleksander,Zieliñski,63509638877,15.07.1980,74-455,K
376,Rafa³,Abacki,81279929807,02.06.1984,23-986,K
377,Rafa³,Jab³onowski,63091412588,17.07.1986,10-238,K
378,Adam,Czerwiñski,62188833451,06.09.1968,62-139,M
379,Adrian,Boguszewski,99623802286,08.02.1993,62-662,K
380,Wojciech,Wójcik,95285323860,25.01.1980,1-646,M
381,Rafa³,WoŸniak,65615085509,10.10.1980,19-002,M
382,Adrian,Wójcik,73635351499,08.10.1964,37-813,K
383,Wojciech,Kowalczyk,66480692852,03.10.1965,4-942,M
384,Cezary,WoŸniak,86944239980,22.09.1978,65-449,M
385,Rafa³,Danielak,81177427322,02.09.1996,46-761,M
386,Rafa³,WoŸniak,63161135282,10.11.1991,1-253,K
387,Sylwester,Danielak,86161518487,25.06.1967,54-165,K
388,Adrian,Górski,77913422878,25.10.1961,82-401,K
389,Adrian,Danielak,65311829317,26.04.1986,70-311,K
390,Aleksander,Kowalski,91843946609,14.03.1986,35-730,K
391,Wojciech,Czerwiñski,95667092983,11.03.1981,77-297,M
392,Piotr,Kamiñski,68906893916,04.06.1977,53-821,K
393,Szymon,WoŸniak,71239305605,18.06.1971,25-286,K
394,Wojciech,Szymañski,66923690387,07.03.1994,47-969,M
395,Sebastian,Zieliñski,71312726345,10.10.1964,21-230,M
396,Aleksander,Jab³onowski,61116823398,02.02.1961,23-273,K
397,Rafa³,Boguszewski,81217251296,07.03.1992,80-918,K
398,Sebastian,Czerwiñski,88234919324,09.02.1968,18-135,M
399,Szymon,Brodowicz,88258235290,20.12.1982,40-162,M
400,Aleksander,Wójcik,97638153474,04.03.1991,78-711,M
401,Adrian,Kamiñski,70887789422,23.12.1972,86-759,K
402,Sylwester,Kamiñski,72583604501,28.06.1972,82-851,K
403,Sebastian,Czerwiñski,72807690324,21.06.1983,23-682,K
404,Damian,Kowalczyk,60322066119,05.09.1961,80-356,K
405,Bogdan,Szymañski,93555630074,16.08.1970,48-712,K
406,Adrian,Kowalski,83461631822,24.07.1989,63-166,M
407,Damian,Szymañski,86607906697,22.11.1995,86-368,M
408,Tomek,Abacki,63076540920,15.10.1965,46-948,M
409,Szymon,Szymañski,90804221221,15.01.1974,33-798,M
410,Adam,WoŸniak,62298357588,17.01.1980,26-639,K
411,Rafa³,Abacki,83134828975,05.04.1993,50-081,M
412,Rafa³,Abacki,69410683576,02.09.1998,80-584,M
413,Jakub,Brodowicz,92313112566,12.06.1975,62-406,K
414,Adrian,Jab³onowski,69018952481,18.05.1995,87-719,M
415,Jakub,Jab³onowski,67427570171,18.06.1968,65-051,M
416,Wojciech,Danielak,88833696867,15.03.1987,71-898,M
417,Sebastian,Czerwiñski,60859739675,28.11.1975,84-114,M
418,Sylwester,Kamiñski,73187610885,08.06.1996,31-438,M
419,Szymon,Kowalski,60005236859,23.05.1990,87-954,K
420,Sylwester,Szymañski,99355496692,06.02.1975,63-329,M
421,Adrian,Kamiñski,87486063361,09.09.1974,61-389,M
422,Michal,Danielak,79883143872,03.03.1967,38-038,K
423,Piotr,Kowalczyk,67459304059,10.01.1960,56-749,M
424,Szymon,Wiœniewski,60548061267,26.05.1981,24-506,M
425,Sebastian,Wolny,88024215076,15.06.1981,29-777,K
426,Rafa³,Danielak,93583052880,26.11.1965,11-720,M
427,Wojciech,Nowak,75414952981,13.10.1976,79-538,M
428,Aleksander,WoŸniak,89446303725,09.01.1968,55-937,M
429,Michal,WoŸniak,71084255027,10.08.1991,4-571,M
430,Sebastian,Kamiñski,84103030681,28.10.1994,37-677,M
431,Sylwester,Kowalczyk,88253300275,09.03.1971,41-044,K
432,Damian,Górski,88611355436,17.05.1977,69-721,K
433,Wojciech,Kowalski,86215991278,24.10.1973,79-755,K
434,Jakub,Brodowicz,67574840951,25.01.1974,18-541,K
435,Szymon,Nowak,71227487296,28.08.1979,49-144,K
436,Marcin,Boguszewski,63163703693,04.07.1982,81-371,K
437,Rafa³,Czerwiñski,67127820283,06.01.1961,84-565,M
438,Sylwester,Czerwiñski,80306922285,17.01.1975,72-230,M
439,Wojciech,WoŸniak,81705619360,25.07.1962,7-553,K
440,Cezary,Czerwiñski,70802435327,10.03.1988,57-240,K
441,Damian,Boguszewski,93743147061,27.03.1962,32-998,K
